Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,player_id
Aaron Gordon,Arizona,3,0,1,38,1187.0,5.0,10.1,0.495,0.4,1.2,0.356,4.6,8.9,0.513,0.516,2.0,4.7,0.422,2.7,5.3,8.0,2.0,0.9,1.0,1.4,3.0,12.4,105.5,87.7,20.4,0.503,0.118,0.471,10.4,19.3,14.9,13.0,1.8,3.4,12.4,23.2,2.1,3.3,5.4,0.183,3.3,3.9,7.2,gordoaa01
Aaron Holiday,UCLA,3,2,0,33,1244.0,6.4,13.9,0.461,2.7,6.2,0.429,3.8,7.7,0.486,0.557,4.8,5.8,0.828,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.8,20.3,112.9,106.9,21.1,0.609,0.446,0.417,1.6,8.7,5.3,29.9,1.9,0.7,20.6,27.2,3.7,1.2,4.9,0.157,4.9,0.1,5.0,holidaa01
Aaron Nesmith,Vanderbilt,3,1,1,14,500.0,7.5,14.6,0.512,4.3,8.2,0.522,3.2,6.4,0.5,0.659,3.7,4.5,0.825,0.8,4.1,4.9,0.9,1.4,0.9,1.7,3.1,23.0,125.1,105.6,29.0,0.685,0.561,0.307,2.5,13.9,8.0,6.9,2.3,2.6,11.6,23.7,2.2,0.4,2.6,0.207,8.6,0.3,8.9,nesmiaa01
Aaron Wiggins,Maryland,3,2,1,30,993.0,5.3,12.0,0.443,1.8,5.1,0.346,3.5,6.9,0.515,0.517,1.9,2.4,0.767,1.1,4.7,5.8,2.5,1.1,0.5,2.0,2.5,14.5,103.8,99.3,19.9,0.542,0.432,0.203,4.5,15.9,10.6,17.2,2.1,2.0,14.5,24.9,2.1,1.6,3.7,0.145,4.1,1.7,5.8,wiggiaa01
Al Horford,Florida,3,2,1,38,1058.0,7.0,11.6,0.608,0.0,0.1,0.0,7.0,11.5,0.612,0.608,4.9,7.6,0.644,3.6,10.0,13.6,3.1,1.1,2.6,2.6,3.6,19.0,0.0,0.0,24.5,0.624,0.007,0.66,0.0,0.0,17.2,0.0,0.0,4.7,14.5,17.8,3.5,4.0,7.5,0.283,0.0,0.0,0.0,horfoal01
Alex Caruso,Texas A&M,3,3,0,37,1067.0,3.0,6.0,0.502,0.8,2.1,0.368,2.2,3.9,0.572,0.566,1.4,1.8,0.785,1.1,2.5,3.6,5.0,2.1,0.4,2.4,3.4,8.1,111.6,92.9,18.2,0.598,0.344,0.294,4.1,9.5,6.8,31.1,4.2,1.6,26.8,17.5,1.9,2.4,4.3,0.163,2.5,5.6,8.0,carusal01
Alex Sarr,Perth,0,0,2,24,457.8,8.7,16.6,0.52,1.3,4.6,0.298,7.3,12.0,0.605,0.563,3.9,5.4,0.714,3.3,6.9,10.2,2.0,1.1,3.1,2.6,3.2,22.6,104.746,98.27,11.769,0.595,0.277,0.325,24.028,33.494,29.707,32.154,3.204,36.6,15.6,62.84,0.084,1.354,1.439,0.126,1.526,3.079,4.605,sarral01
Amir Coffey,Minnesota,3,2,1,36,1266.0,5.5,12.6,0.436,1.1,3.8,0.304,4.4,8.9,0.492,0.481,4.5,6.1,0.738,0.7,2.9,3.6,3.2,0.9,0.2,2.3,1.7,16.7,104.9,105.0,16.9,0.537,0.309,0.487,2.2,9.6,5.8,19.9,1.5,0.7,15.4,24.8,2.5,1.3,3.8,0.121,3.5,1.0,4.5,coffeam01
Andre Drummond,Connecticut,1,0,2,34,967.0,4.6,8.6,0.538,0.0,0.1,0.0,4.6,8.5,0.541,0.538,0.8,2.6,0.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,3.1,10.0,100.7,95.5,21.9,0.509,0.007,0.301,14.2,15.5,15.6,3.4,1.8,9.9,16.0,20.8,1.4,1.5,2.9,0.121,1.8,2.5,4.3,drumman01
Andrew Nembhard,Gonzaga,1,3,0,32,1029.0,4.4,9.7,0.452,1.6,4.2,0.383,2.8,5.5,0.503,0.534,1.5,1.7,0.873,0.4,2.9,3.4,5.8,1.6,0.1,1.9,2.5,11.8,117.3,92.2,18.1,0.564,0.429,0.177,1.6,8.7,5.6,26.3,2.7,0.4,16.6,19.6,2.8,2.2,5.0,0.195,3.7,3.0,6.7,nembhan01
Andrew Wiggins,Kansas,3,0,1,35,1148.0,5.4,12.1,0.448,1.2,3.6,0.341,4.2,8.5,0.493,0.499,5.0,6.5,0.775,2.2,3.7,5.9,1.5,1.2,1.0,2.3,3.3,17.1,112.3,101.7,21.4,0.563,0.299,0.538,8.4,12.3,10.4,9.2,2.1,3.1,15.9,25.1,3.2,1.7,4.9,0.17,5.1,1.8,7.0,wiggian01
Anthony Black,Arkansas,3,0,1,36,1237.0,4.1,9.1,0.453,0.8,2.6,0.301,3.4,6.6,0.513,0.495,3.7,5.3,0.705,1.2,3.8,5.1,3.9,2.1,0.6,3.0,3.0,12.8,102.0,95.6,17.2,0.549,0.283,0.578,4.3,12.8,8.5,20.9,3.4,1.9,22.6,22.2,1.8,2.4,4.2,0.133,2.5,3.4,5.9,blackan01
Anthony Davis,Kentucky,3,0,2,40,1281.0,5.2,8.4,0.623,0.1,0.5,0.15,5.2,7.9,0.653,0.628,3.6,5.1,0.709,3.0,7.4,10.4,1.2,1.4,4.6,1.0,2.4,14.2,133.8,79.6,35.1,0.654,0.059,0.602,11.6,23.9,19.0,7.5,2.5,13.7,10.0,19.1,5.9,4.1,9.9,0.31,9.1,7.6,16.7,davisan02
Anthony Edwards,Georgia,3,0,1,31,1024.0,6.3,15.7,0.4,2.2,7.6,0.291,4.1,8.1,0.502,0.47,4.1,5.3,0.77,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.7,19.1,103.0,102.8,20.8,0.517,0.485,0.338,2.4,14.5,8.7,17.9,2.3,1.6,15.4,28.8,2.5,1.1,3.6,0.136,4.4,0.5,4.9,edwaran01
Anthony Gill,Virginia,3,3,2,37,1037.0,5.1,8.8,0.58,0.1,0.1,1.0,5.1,8.8,0.577,0.583,3.5,4.7,0.746,2.2,4.0,6.1,0.8,0.6,0.6,1.1,3.3,13.8,122.6,96.8,26.4,0.624,0.006,0.531,10.6,18.2,14.5,5.8,1.5,2.6,10.9,24.0,4.1,1.9,6.0,0.231,5.3,2.0,7.3,gillan01
