Name,Team,League,Unnamed: 3,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,3PAr,FTr,Est_Poss,USG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,ORTG,DRTG,OBPM,DBPM,BPM,PER,OWS,DWS,WS,WS/40
Deni Avdija,Maccabi Tel Aviv,EuroLeague,eu,26,412.2,4.4,10.1,0.436,1.4,5.1,0.277,3,5.1,0.596,1.1,1.9,0.556,1.7,5.7,7.3,3.2,1.1,0.7,2,5.6,11.3,0.517,0.505,0.188,12.936,45.331,14.893,33.29,25.581,87.912,3.855,12.624,87.353,103.79,0.436,2.103,2.54,11.099,-0.04,1.12,1.081,0.105
Giannis Antetokounmpo,Greece,FIBA,0,5,138.9,7.7,14.7,0.522,0.7,2.9,0.222,7,11.9,0.595,7.7,10.9,0.706,1.6,12.4,14.1,3.9,3.9,1,4.1,5.8,23.7,0.608,0.197,0.741,23.596,47.188,7.999,41.33,28.198,69.395,7.799,13.132,100.441,96.35,1.499,4.546,6.045,16.976,0.051,0.592,0.644,0.185
Thanasis Antetokounmpo,Greece,FIBA,0,5,68.9,7.8,14.2,0.545,1.9,5.1,0.375,5.8,9,0.643,1.9,3.9,0.5,1.9,2.6,4.6,3.2,1.3,1.3,2.6,9,19.3,0.606,0.359,0.275,18.516,74.649,19.15,17.47,18.545,56.338,5.241,17.591,104.234,103.91,1.298,1.198,2.495,18.142,0.068,0.302,0.371,0.215
LaMelo Ball,Hawks,NBL,au,12,416.7,8,21.3,0.375,2.1,8.6,0.25,5.9,12.8,0.458,3.7,5,0.723,2.4,7.2,9.7,8.8,2,0.1,3.2,3.3,21.8,0.464,0.404,0.235,26.7,42.717,9.599,19.198,15.519,151.724,3.2,0.945,81.648,101.47,2.292,1.276,3.568,11.771,-0.143,1.147,1.004,0.096
Nicolas Batum,Le Mans,LNB Pro A,fr,30,960,6.2,11.9,0.523,1.4,4.1,0.348,4.8,7.8,0.617,3.2,4.3,0.753,2.2,4.8,7,5,1.9,1.1,3.3,2.3,17.1,0.62,0.345,0.361,17.092,29.674,9.549,13.889,12.153,105.932,3.299,17.309,100.047,99.42,1.022,1.191,2.213,10.688,0.035,2.55,2.585,0.108
Joan Beringer,Cedevita Olimpija,ABA,0,30,608.9,4.3,7.3,0.594,0,0,0,4.3,7.3,0.594,2,3.3,0.6,2.9,6.1,9,1.2,1.1,3.2,1.3,5.2,10.8,0.617,0,0.452,10.052,27.514,19.845,27.828,24.635,33.52,3.011,74.679,107.441,99.09,-0.496,2.666,2.17,10.971,0.05,1.737,1.787,0.117
Goga Bitadze,Budućnost,EuroLeague,eu,13,350,6.4,11.8,0.548,0.7,2,0.313,5.9,9.8,0.597,6.3,8.9,0.714,4.2,6.3,10.6,1.9,0.8,3.8,2.3,6,19.9,0.633,0.169,0.754,18.016,37.176,21.667,21.667,21.873,39.256,1.651,60.222,110.457,99.16,1.007,2.233,3.241,12.289,0.111,1.105,1.216,0.139
Bismack Biyombo,Fuenlabrada,Liga ACB,es,14,265.6,5.3,9.7,0.552,0,0,0,5.3,9.7,0.552,4.3,7.9,0.553,4.6,7.3,11.9,0.7,0.9,5.3,4,4.7,15.1,0.573,0,0.814,17.176,50.298,33.676,35.629,34.848,16.746,2.636,98.788,87.913,95.56,-0.451,4.01,3.559,12.474,-0.049,0.974,0.925,0.139
Bogdan Bogdanović,Partizan,Euroleague,eu,23,802.2,6.6,16.4,0.401,2.8,7.4,0.37,3.8,9,0.426,2.9,3.8,0.754,0.9,3.8,4.7,4.7,2,0.2,4.3,3.3,18.9,0.523,0.451,0.232,22.372,35.635,3.584,10.088,7.486,94.758,3.186,2.387,84.481,101.29,1.216,0.587,1.803,10.58,-0.094,2.116,2.021,0.101
Clint Capela,Élan,LNB Pro A,fr,30,723.3,7.8,11.8,0.665,0,0.1,0,7.8,11.7,0.668,2.6,4.4,0.575,4.7,8.9,13.6,2.2,1.2,3.1,2.8,4,18.2,0.662,0.008,0.373,16.536,38.103,27.075,34.18,31.338,38.732,2.765,49.128,110.063,98.42,0.447,3.194,3.641,11.232,0.1,2.023,2.123,0.117
