Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,player_id
A.J. Lawson,South Carolina,SEC,SO,F,31,903.0,4.4,10.5,0.414,1.8,5.4,0.339,2.5,5.1,0.494,0.502,2.9,4.0,0.724,0.5,3.2,3.7,1.9,1.2,0.1,2.0,3.0,13.4,103.1,97.7,17.9,0.541,0.566,0.377,1.9,12.3,7.1,12.4,2.3,0.5,17.0,22.2,1.4,0.5,1.9,0.114,2.3,1.3,3.6,lawsoaj01
AJ Johnson,Illawarra,Intl,FR,F,25,220.0,5.4,15.3,0.355,1.7,5.7,0.286,3.9,9.7,0.396,0.408,1.4,2.7,0.538,1.4,5.2,6.7,3.7,1.2,0.6,3.0,3.9,13.9,71.326,102.87,11.623,0.422,0.373,0.176,22.096,54.714,42.298,87.264,7.576,7.609,15.6,123.03,-0.185,0.64,0.455,0.083,0.488,3.837,4.325,johnsaj01
Aaron Gordon,Arizona,P12,FR,F,38,1187.0,5.0,10.1,0.495,0.4,1.2,0.356,4.6,8.9,0.513,0.516,2.0,4.7,0.422,2.7,5.3,8.0,2.0,0.9,1.0,1.4,3.0,12.4,105.5,87.7,20.4,0.503,0.118,0.471,10.4,19.3,14.9,13.0,1.8,3.4,12.4,23.2,2.1,3.3,5.4,0.183,3.3,3.9,7.2,gordoaa01
Aaron Holiday,UCLA,P12,JR,G,33,1244.0,6.4,13.9,0.461,2.7,6.2,0.429,3.8,7.7,0.486,0.557,4.8,5.8,0.828,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.8,20.3,112.9,106.9,21.1,0.609,0.446,0.417,1.6,8.7,5.3,29.9,1.9,0.7,20.6,27.2,3.7,1.2,4.9,0.157,4.9,0.1,5.0,holidaa01
Aaron Nesmith,Vanderbilt,SEC,SO,F,14,500.0,7.5,14.6,0.512,4.3,8.2,0.522,3.2,6.4,0.5,0.659,3.7,4.5,0.825,0.8,4.1,4.9,0.9,1.4,0.9,1.7,3.1,23.0,125.1,105.6,29.0,0.685,0.561,0.307,2.5,13.9,8.0,6.9,2.3,2.6,11.6,23.7,2.2,0.4,2.6,0.207,8.6,0.3,8.9,nesmiaa01
Aaron Wiggins,Maryland,B10,JR,F,30,993.0,5.3,12.0,0.443,1.8,5.1,0.346,3.5,6.9,0.515,0.517,1.9,2.4,0.767,1.1,4.7,5.8,2.5,1.1,0.5,2.0,2.5,14.5,103.8,99.3,19.9,0.542,0.432,0.203,4.5,15.9,10.6,17.2,2.1,2.0,14.5,24.9,2.1,1.6,3.7,0.145,4.1,1.7,5.8,wiggiaa01
Ace Bailey,Rutgers,B10,FR,F,30,1000.0,6.8,14.7,0.46,1.6,4.5,0.346,5.2,10.2,0.511,0.514,2.5,3.6,0.692,2.1,5.1,7.2,1.3,1.0,1.3,2.0,3.3,17.6,106.3,107.7,19.9,0.536,0.308,0.243,7.0,17.5,12.2,8.3,1.7,4.1,13.4,26.2,1.7,1.1,2.8,0.112,3.6,0.1,3.8,baileac01
Adem Bona,UCLA,P12,SO,C,32,849.0,4.6,7.9,0.585,0.0,0.1,0.0,4.6,7.8,0.59,0.585,3.2,4.5,0.697,2.0,3.9,5.9,1.2,1.1,1.8,2.5,5.5,12.4,106.3,95.8,23.3,0.617,0.004,0.573,8.7,18.3,13.4,11.5,2.7,8.7,22.3,25.6,1.7,1.9,3.6,0.165,1.5,4.3,5.8,bonaad01
Adou Thiero,Arkansas,SEC,JR,F,27,743.0,5.1,9.4,0.545,0.4,1.6,0.256,4.7,7.8,0.605,0.567,4.4,6.5,0.686,1.8,4.0,5.8,1.9,1.6,0.7,1.7,3.7,15.1,116.1,97.9,25.1,0.605,0.17,0.692,7.7,15.9,12.0,14.0,3.4,2.9,13.6,25.9,2.3,1.5,3.8,0.203,5.2,3.9,9.1,thierad01
Ajay Mitchell,UC Santa Barbara,BW,JR,G,27,851.0,6.7,13.7,0.491,1.1,3.0,0.375,5.6,10.8,0.522,0.531,5.7,6.6,0.86,0.2,3.8,4.0,4.0,1.2,0.4,2.6,3.3,20.0,113.4,105.5,25.7,0.6,0.217,0.48,0.9,13.0,7.7,28.7,2.1,1.3,15.6,31.1,3.4,1.1,4.5,0.198,4.6,0.2,4.7,mitchaj01
Al Horford,Florida,SEC,JR,F,38,1058.0,7.0,11.6,0.608,0.0,0.1,0.0,7.0,11.5,0.612,0.608,4.9,7.6,0.644,3.6,10.0,13.6,3.1,1.1,2.6,2.6,3.6,19.0,0.0,0.0,24.5,0.624,0.007,0.66,0.0,0.0,17.2,0.0,0.0,4.7,14.5,17.8,3.5,4.0,7.5,0.283,0.0,0.0,0.0,horfoal01
Alex Caruso,Texas A&M,SEC,SR,G,37,1067.0,3.0,6.0,0.502,0.8,2.1,0.368,2.2,3.9,0.572,0.566,1.4,1.8,0.785,1.1,2.5,3.6,5.0,2.1,0.4,2.4,3.4,8.1,111.6,92.9,18.2,0.598,0.344,0.294,4.1,9.5,6.8,31.1,4.2,1.6,26.8,17.5,1.9,2.4,4.3,0.163,2.5,5.6,8.0,carusal01
Alex Sarr,Perth,Intl,FR,F,24,457.8,8.7,16.6,0.52,1.3,4.6,0.298,7.3,12.0,0.605,0.563,3.9,5.4,0.714,3.3,6.9,10.2,2.0,1.1,3.1,2.6,3.2,22.6,104.746,98.27,11.769,0.595,0.277,0.325,24.028,33.494,29.707,32.154,3.204,36.6,15.6,62.84,0.084,1.354,1.439,0.126,1.526,3.079,4.605,sarral01
Alijah Martin,Florida,SEC,SR,G,38,1155.0,5.0,11.0,0.452,2.1,5.9,0.35,2.9,5.1,0.573,0.547,2.3,3.1,0.761,1.2,3.3,4.5,2.2,1.5,0.2,1.4,1.9,14.4,121.3,99.9,19.4,0.577,0.541,0.28,4.5,10.8,7.8,12.3,2.7,0.6,13.1,20.6,3.3,2.1,5.3,0.184,5.4,3.1,8.5,martial01
Amari Williams,Kentucky,SEC,SR,C,36,819.0,3.8,6.8,0.561,0.0,0.1,0.25,3.8,6.7,0.566,0.563,3.2,5.1,0.623,2.1,6.4,8.5,3.2,0.6,1.2,2.3,3.9,10.9,111.0,100.5,24.1,0.587,0.016,0.744,10.3,29.7,20.4,24.7,1.4,6.1,20.5,26.9,2.1,1.4,3.5,0.173,4.5,4.2,8.7,william01
Amir Coffey,Minnesota,B10,JR,F,36,1266.0,5.5,12.6,0.436,1.1,3.8,0.304,4.4,8.9,0.492,0.481,4.5,6.1,0.738,0.7,2.9,3.6,3.2,0.9,0.2,2.3,1.7,16.7,104.9,105.0,16.9,0.537,0.309,0.487,2.2,9.6,5.8,19.9,1.5,0.7,15.4,24.8,2.5,1.3,3.8,0.121,3.5,1.0,4.5,coffeam01
Andre Drummond,Connecticut,BE,FR,C,34,967.0,4.6,8.6,0.538,0.0,0.1,0.0,4.6,8.5,0.541,0.538,0.8,2.6,0.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,3.1,10.0,100.7,95.5,21.9,0.509,0.007,0.301,14.2,15.5,15.6,3.4,1.8,9.9,16.0,20.8,1.4,1.5,2.9,0.121,1.8,2.5,4.3,drumman01
Andre Jackson Jr.,Connecticut,BE,JR,F,36,1047.0,2.6,5.9,0.432,0.7,2.5,0.281,1.9,3.4,0.54,0.491,0.9,1.3,0.646,1.9,4.3,6.2,4.7,1.1,0.5,2.0,3.9,6.7,111.3,93.2,15.0,0.509,0.418,0.225,7.6,16.7,12.3,26.6,2.2,1.8,24.1,16.5,1.8,2.3,4.0,0.154,2.5,4.5,7.0,jacksan01
Andrew Nembhard,Gonzaga,WCC,SR,G,32,1029.0,4.4,9.7,0.452,1.6,4.2,0.383,2.8,5.5,0.503,0.534,1.5,1.7,0.873,0.4,2.9,3.4,5.8,1.6,0.1,1.9,2.5,11.8,117.3,92.2,18.1,0.564,0.429,0.177,1.6,8.7,5.6,26.3,2.7,0.4,16.6,19.6,2.8,2.2,5.0,0.195,3.7,3.0,6.7,nembhan01
Andrew Wiggins,Kansas,B12,FR,F,35,1148.0,5.4,12.1,0.448,1.2,3.6,0.341,4.2,8.5,0.493,0.499,5.0,6.5,0.775,2.2,3.7,5.9,1.5,1.2,1.0,2.3,3.3,17.1,112.3,101.7,21.4,0.563,0.299,0.538,8.4,12.3,10.4,9.2,2.1,3.1,15.9,25.1,3.2,1.7,4.9,0.17,5.1,1.8,7.0,wiggian01
Anthony Black,Arkansas,SEC,FR,F,36,1237.0,4.1,9.1,0.453,0.8,2.6,0.301,3.4,6.6,0.513,0.495,3.7,5.3,0.705,1.2,3.8,5.1,3.9,2.1,0.6,3.0,3.0,12.8,102.0,95.6,17.2,0.549,0.283,0.578,4.3,12.8,8.5,20.9,3.4,1.9,22.6,22.2,1.8,2.4,4.2,0.133,2.5,3.4,5.9,blackan01
Anthony Davis,Kentucky,SEC,FR,C,40,1281.0,5.2,8.4,0.623,0.1,0.5,0.15,5.2,7.9,0.653,0.628,3.6,5.1,0.709,3.0,7.4,10.4,1.2,1.4,4.6,1.0,2.4,14.2,133.8,79.6,35.1,0.654,0.059,0.602,11.6,23.9,19.0,7.5,2.5,13.7,10.0,19.1,5.9,4.1,9.9,0.31,9.1,7.6,16.7,davisan02
Anthony Edwards,Georgia,SEC,FR,F,31,1024.0,6.3,15.7,0.4,2.2,7.6,0.291,4.1,8.1,0.502,0.47,4.1,5.3,0.77,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.7,19.1,103.0,102.8,20.8,0.517,0.485,0.338,2.4,14.5,8.7,17.9,2.3,1.6,15.4,28.8,2.5,1.1,3.6,0.136,4.4,0.5,4.9,edwaran01
Anthony Gill,Virginia,ACC,SR,C,37,1037.0,5.1,8.8,0.58,0.1,0.1,1.0,5.1,8.8,0.577,0.583,3.5,4.7,0.746,2.2,4.0,6.1,0.8,0.6,0.6,1.1,3.3,13.8,122.6,96.8,26.4,0.624,0.006,0.531,10.6,18.2,14.5,5.8,1.5,2.6,10.9,24.0,4.1,1.9,6.0,0.231,5.3,2.0,7.3,gillan01
Antonio Reeves,Kentucky,SEC,SR,F,33,1039.0,7.1,13.9,0.512,2.5,5.7,0.447,4.6,8.2,0.557,0.603,3.4,4.0,0.863,0.7,3.4,4.2,1.6,0.7,0.2,1.2,2.3,20.2,126.5,111.5,23.6,0.64,0.41,0.285,2.7,11.1,7.2,9.2,1.1,0.8,8.9,23.6,4.1,0.6,4.7,0.182,7.3,-1.1,6.2,reevean01
Ariel Hukporti,Melbourne,Intl,FR,F,28,571.1,7.0,11.8,0.596,0.0,0.0,0.0,7.0,11.8,0.596,0.593,4.3,6.9,0.618,5.3,10.0,15.3,1.6,1.3,3.2,3.7,6.2,18.3,98.727,99.09,11.502,0.617,0.0,0.585,36.09,45.396,41.674,30.769,3.541,50.713,15.6,50.488,0.028,1.653,1.68,0.118,0.197,4.192,4.389,hukpoar01
Asa Newell,Georgia,SEC,FR,C,33,958.0,5.8,10.7,0.543,0.8,2.7,0.292,5.0,8.0,0.627,0.58,3.1,4.1,0.748,3.3,3.5,6.9,0.9,1.0,1.0,1.1,3.3,15.4,127.8,102.7,26.1,0.612,0.253,0.384,14.0,13.5,13.7,6.7,2.0,3.8,9.8,23.0,3.8,1.4,5.2,0.218,7.2,1.4,8.6,newelas01
Austin Reaves,Oklahoma,B12,SR,G,25,862.0,5.6,12.6,0.443,1.3,4.2,0.305,4.3,8.4,0.512,0.494,5.9,6.8,0.865,0.8,4.6,5.5,4.6,0.9,0.3,3.0,1.9,18.3,110.9,101.8,23.6,0.579,0.334,0.541,2.8,15.1,9.0,27.0,1.5,1.0,17.7,28.4,2.9,1.0,4.0,0.183,5.5,0.9,6.4,reaveau01
