Name,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Bam Adebayo,Kentucky,SEC,FR,F,38,38,1145,5.9,9.9,0.599,0,0,0,5.9,9.9,0.599,0.599,5.4,8.2,0.653,4.1,6.5,10.6,1.1,0.9,2,2.2,3.5,17.3,123.7,95.8,22,0.624,0,0.831,488,11.1,17.3,14.2,4.7,1.2,4.9,13.9,18.5,3.3,2.3,5.6,0.196,4.5,3.6,8.2
R.J. Barrett,Duke,ACC,FR,F,38,38,1341,9.5,20.9,0.454,2.2,7.1,0.308,7.3,13.9,0.529,0.506,4.4,6.7,0.665,1.8,6.8,8.6,4.9,1,0.5,3.7,2.1,25.7,110.1,95.9,23.3,0.532,0.338,0.319,834,4.8,17.2,11.2,23.5,1.4,1.2,13.2,32.2,3.8,2.7,6.5,0.194,6.5,2.1,8.6
Jimmy Butler ,Marquette,Big East,SR,G,37,35,1282,5.8,11.9,0.49,0.6,1.8,0.345,5.2,10.1,0.515,0.516,5.9,7.5,0.783,2.8,4.2,7,2.7,1.7,0.4,1.7,1.5,18.2,126.8,102.5,24,0.587,0.152,0.628,569,8.2,12,10.1,13.2,2.4,1.1,9.8,21.3,4.8,1.5,6.3,0.198,7.2,2.2,9.4
Matas Buzelis,GLI,Other,FR,F,26,26,831,6.1,13.6,0.448,1,3.8,0.273,5.1,9.8,0.515,0.549,1.6,2.4,0.679,2.1,5.7,7.8,2.2,0.9,2.3,2.5,2.9,16.2,97,121,13.7,0.549,0.279,0.178,0,6.4,18.4,12.2,10.1,1.3,5.8,14.6,21.7,-1,0.4,-0.6,-0.035,0,0,0
Bub Carrington,Pitt,ACC,FR,G,33,33,1096,5.8,14.1,0.412,2.4,7.4,0.322,3.4,6.7,0.511,0.496,2.7,3.4,0.785,0.6,5.7,6.2,5,0.7,0.3,2.3,2.8,16.6,111.5,105.2,16.3,0.53,0.523,0.241,463,1.6,16.8,8.9,24,1,0.9,13,23,2.2,1.4,3.6,0.133,2.6,1.3,3.9
Sidy Cissoko,GLI,Other ,FR,F,28,28,821,5.3,11.6,0.457,1.4,4.5,0.304,3.9,7.1,0.552,0.515,2.1,3.3,0.645,1,2.5,3.5,4.3,1.4,1.2,2.4,4.1,15.7,105,123,12.7,0.601,0.385,0.287,0,3.1,7.5,5.3,17.5,2,3.2,15.3,19.2,-0.3,0.5,0.1,0.008,0,0,0
Nic Claxton,Georgia,SEC,SO,F,32,32,1011,5.4,11.8,0.46,0.7,2.5,0.281,4.7,9.3,0.509,0.49,4.9,7.6,0.641,2.8,8,10.8,2.3,1.3,3.2,2.7,3.6,16.4,108.1,99.5,21.2,0.533,0.215,0.644,414,8.4,20.6,14.9,12.2,1.9,8,14.7,22.1,1.8,1.7,3.5,0.137,2.3,3.2,5.5
Mike Conley,Ohio St.,Big Ten,FR,G,39,39,1231,5.2,10,0.518,0.7,2.2,0.304,4.5,7.8,0.579,0.552,3.2,4.7,0.694,0.9,3.5,4.4,7.7,2.8,0.3,2.8,1.9,14.3,0,0,24.5,0.584,0.223,0.466,0,0,0,0,0,0,0,18.6,23.4,2.7,3.4,6.1,0.199,0,0,9.6
Moussa Diabate,Michigan,Big Ten,FR,F,32,26,796,5.9,10.9,0.542,0.2,0.7,0.214,5.7,10.2,0.564,0.549,2.6,4.2,0.619,3.8,5.8,9.6,1.3,0.6,1.4,2.4,4.3,14.5,110.9,104.1,17.6,0.565,0.065,0.389,290,11.9,17,14.5,6.2,0.8,3.7,15.5,19.7,1.6,0.9,2.5,0.124,1.6,1.1,2.8
Kevin Durant,Texas,Big 12,FR,F,35,35,1255,9.8,20.6,0.473,2.6,6.5,0.404,7.1,14.2,0.505,0.536,6.7,8.2,0.816,3.4,9.1,12.4,1.5,2.1,2.1,3.2,2.3,28.8,0,0,24.5,0.587,0.314,0.396,0,0,0,16.5,0,0,3.5,11.4,33.2,4.7,4.1,8.8,0.28,0,0,0
Egor Demin,BYU,Big 12,FR,G,33,33,908,5.6,13.5,0.412,1.9,6.8,0.273,3.7,6.7,0.553,0.48,2.5,3.6,0.695,0.4,5.2,5.6,7.9,1.7,0.5,4.3,1.8,15.5,103.9,105.6,15.6,0.509,0.503,0.268,411,1.3,14.8,8.3,34.6,2.5,1.7,21.9,24.5,1.1,1.3,2.3,0.103,3.1,2.2,5.3
VJ Edgecombe,Baylor,Big 12,FR,G,33,33,1080,6.1,14.1,0.436,1.9,5.7,0.34,4.2,8.4,0.5,0.504,4.1,5.3,0.782,2.5,4.4,6.9,3.9,2.5,0.7,2.4,3.1,18.3,119.1,102.5,22.1,0.552,0.402,0.373,500,7.1,13.5,10.2,19.2,3.8,2.3,12.5,24.1,3,1.8,4.8,0.178,7.1,4.3,11.4
Jalen Green,GLI,Other,FR,G,15,15,480,7,15.3,0.461,2.3,6.4,0.365,4.7,8.9,0.529,0.537,2.2,2.6,0.829,0.6,4,4.6,3.2,1.7,0.3,3,1.9,20.2,102,112,15.3,0.613,0.417,0.172,0,1.9,11.6,6.9,13.5,2.3,0.8,15.4,23.4,0,0.5,0.4,0.044,0,0,0
Jaden Hardy,GLI,Other ,FR,G,12,12,386,6.7,19.1,0.351,2,7.3,0.269,4.8,11.8,0.402,0.402,2.8,3.2,0.882,0.6,4.6,5.1,3.5,1.4,0.4,3.9,2.7,19.8,85,111,9.2,0.482,0.38,0.166,0,1.8,14.1,8,15.6,2,1,16,30,-1.1,0.4,-0.7,-0.092,0,0,0
