player,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass
A.C. Green,greenac01,39044.0,104.2,17.1,1,0,Superstar
A.J. Bramlett,bramlaj01,61.0,-0.2,-0.2,0,0,Rotational
A.J. English,engliaj01,3108.0,1.1,-1.5,0,0,Rotational
A.J. Green,greenaj01,4888.0,7.1,-0.8,0,0,Rotational
A.J. Guyton,guytoaj01,1246.0,0.3,-0.19999999999999998,0,0,Rotational
A.J. Hammons,hammoaj01,163.0,0.0,-0.2,0,0,Rotational
A.J. Lawson,lawsoaj01,1239.0,1.8,-0.4,0,0,Rotational
A.J. Price,priceaj01,4253.0,5.0,0.6,0,0,Rotational
A.J. Wynder,wyndeaj01,39.0,0.0,0.0,0,0,Rotational
A.W. Holt,holtaw01,14.0,-0.1,0.0,0,0,Rotational
AJ Griffin,griffaj01,1572.0,1.8000000000000003,0.10000000000000003,0,0,Rotational
AJ Johnson,johnsaj01,2186.0,-2.5,-3.5,0,0,Rotational
Aaron Brooks,brookaa01,17277.0,23.3,2.8,0,0,Starter
Aaron Gordon,gordoaa01,23465.0,52.2,14.1,0,0,All-Star
Aaron Gray,grayaa01,4517.0,7.1,-1.6,0,0,Rotational
Aaron Harrison,harriaa01,343.0,-0.2,-0.4,0,0,Rotational
Aaron Henry,henryaa01,17.0,-0.1,-0.1,0,0,Rotational
Aaron Holiday,holidaa01,9168.0,12.9,0.20000000000000004,0,0,Rotational
Aaron Jackson,jacksaa01,35.0,0.0,-0.1,0,0,Rotational
Aaron James,jamesaa01,7671.0,13.2,-0.6,0,0,Rotational
Aaron McKie,mckieaa01,22594.0,44.9,14.3,0,0,Starter
Aaron Miles,milesaa01,118.0,0.0,-0.1,0,0,Rotational
Aaron Nesmith,nesmiaa01,7512.0,11.2,-0.19999999999999996,0,0,Rotational
Aaron Swinson,swinsaa01,51.0,0.0,-0.1,0,0,Rotational
Aaron Wiggins,wiggiaa01,6892.0,15.0,1.9,0,0,Rotational
Aaron Williams,williaa01,13669.0,31.7,0.39999999999999997,0,0,Starter
Abdel Nader,naderab01,2583.0,2.8,-0.30000000000000004,0,0,Rotational
Abdul Jeelani,jeelaab01,2394.0,5.4,1.3,0,0,Rotational
Ace Bailey,baileac01,1988.0,-0.1,-1.2,0,0,Rotational
Acie Earl,earlac01,3012.0,0.3,-2.8,0,0,Rotational
Acie Law,lawac01,3345.0,2.6,-1.5,0,0,Rotational
Adam Flagler,flaglad01,217.0,-0.3,-0.4,0,0,Rotational
Adam Harrington,harriad01,222.0,0.1,-0.2,0,0,Rotational
Adam Keefe,keefead01,10334.0,24.9,1.6,0,0,Starter
