player,pos,exp,num,hgt,team,conf,g,min,mpg,ppg,oreb,dreb,rpg,apg,tov,ast_to,spg,bpg,usg,ortg,efg,ts,year,id,fgm,ftm,fta,ft_pct,two_m,two_a,two_pct,three_m,three_a,three_pct,dunk_m,dunk_a,dunk_pct,rim_m,rim_a,rim_pct,mid_m,mid_a,mid_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,rec,pick,fga,fg_pct
Precious Achiuwa,PF/C,Fr,55.0,6-9,Memphis,Amer,31,75.3,30.3548,15.7742,3.0,7.7742,10.7742,0.9677,2.80649990831095,0.34480671,1.0968,1.871,27.2,98.2,51.1,53.4,2020,70558,182,112,187,0.599,169,329,0.514,13,40,0.325,47.0,52.0,0.9038,148.0,231.0,0.6407,21.0,98.0,0.2143,2.59547,4.98252,110.181,81.6111,79.6562,256.167,2.18191,2.94998,5.13189,11.4,24.7,7.5,18.6,6.4,2.0,50.7,3.1,97.2,20.0,369,0.493224932249323
Steven Adams,C,Fr,13.0,7-0,Pittsburgh,BE,32,56.1,23.4062,7.2188,2.8125,3.5312,6.3438,0.625,1.09379994290539,0.57140248,0.6562,2.0312,18.0,109.7,57.1,55.46,2013,26892,100,31,70,0.443,100,175,0.571,0,0,0.0,29.0,33.0,0.8788,85.0,129.0,0.6589,15.0,46.0,0.3261,1.99486,3.44551,109.998,86.5013,83.1502,158.07,3.36616,3.72734,7.0935,15.3,19.1,5.4,16.9,11.2,1.9,40.0,2.8,99.2,12.0,175,0.571428571428571
Ochai Agbaji,Wing F,Fr,30.0,6-5,Kansas,B12,22,39.0,25.8182,8.5455,0.9545,3.6364,4.5909,0.9091,1.36360002405912,0.6666911,0.4545,0.5455,17.0,103.0,52.2,54.3,2019,65963,70,25,36,0.694,47,81,0.58,23,75,0.307,15.0,16.0,0.9375,37.0,55.0,0.6727,10.0,26.0,0.3846,1.72645,3.29544,106.839,100.385,92.4653,104.104,1.52587,1.66378,3.18964,4.3,14.8,6.3,17.6,2.4,1.0,23.1,3.0,73.6,14.0,156,0.448717948717949
Ochai Agbaji,Wing G,So,30.0,6-5,Kansas,B12,30,83.6,33.3548,9.9677,1.1613,3.0,4.1613,2.0,1.87100004746727,1.06894706,1.2258,0.2581,16.8,102.6,51.0,52.6,2020,65963,111,33,49,0.673,68,130,0.523,43,130,0.331,13.0,19.0,0.6842,51.0,84.0,0.6071,17.0,46.0,0.3696,2.34734,4.46961,105.578,93.2968,88.8076,175.223,1.98471,2.65619,4.6409,4.4,9.6,10.6,19.4,0.9,2.2,18.8,2.2,73.6,14.0,260,0.426923076923077
Ochai Agbaji,Wing G,Jr,30.0,6-5,Kansas,B12,29,84.6,33.7,14.2,0.9667,2.7,3.6667,1.8667,1.36670001550396,1.36584472,1.1,0.4667,19.8,109.6,52.8,54.49,2021,65963,143,49,72,0.681,68,140,0.486,75,202,0.371,15.0,17.0,0.8824,53.0,82.0,0.6463,15.0,58.0,0.2586,3.61949,4.00562,116.067,99.6879,93.1578,171.439,3.80493,1.97072,5.77565,2.9,9.1,11.1,12.1,1.6,1.9,21.1,2.2,73.6,14.0,342,0.41812865497076
Ochai Agbaji,Wing G,Sr,30.0,6-5,Kansas,B12,39,84.6,35.0513,18.7692,0.8205,4.2308,5.0513,1.5897,2.05130007674859,0.77497194,0.9231,0.5641,23.3,114.0,57.0,59.49,2022,65963,258,113,152,0.743,155,290,0.534,103,253,0.407,37.0,41.0,0.9024,119.0,164.0,0.7256,36.0,126.0,0.2857,5.17089,4.21865,128.321,97.9268,92.3795,245.374,6.48245,1.66126,8.14371,2.8,12.9,8.7,14.5,1.7,1.5,28.0,1.9,73.6,14.0,543,0.475138121546961
Santi Aldama,PF/C,Fr,34.0,6-11,Loyola MD,Pat,10,24.3,30.4,15.2,1.5,6.1,7.6,2.1,2.300000046,0.91304346,0.9,1.7,26.9,95.6,50.8,51.12,2020,71076,61,17,33,0.515,48,73,0.658,13,60,0.217,5.0,5.0,1.0,34.0,49.0,0.6939,14.0,24.0,0.5833,1.45138,2.42438,99.0997,100.812,104.359,68.4603,1.09767,0.134423,1.23209,5.9,22.5,15.6,15.7,6.2,1.7,24.8,3.0,87.2,30.0,133,0.458646616541353
Santi Aldama,PF/C,So,34.0,6-11,Loyola MD,Pat,17,83.8,35.0,21.2353,1.8235,8.2941,10.1176,2.2941,3.23529997856249,0.70908417,1.0,1.7059,29.4,109.0,57.4,59.4,2021,71076,135,59,86,0.686,103,176,0.585,32,87,0.368,11.0,11.0,1.0,68.0,95.0,0.7158,35.0,81.0,0.4321,3.68463,3.83646,116.933,93.5855,94.2733,138.767,6.02958,1.68206,7.71164,6.1,27.9,15.5,18.2,5.6,1.7,32.7,2.2,87.2,30.0,263,0.513307984790874
Trey Alexander,Combo G,Fr,23.0,6-4,Creighton,BE,35,65.7,26.5429,7.4,0.2857,3.4286,3.7143,2.4571,1.82860011853193,1.34370548,0.7143,0.2857,17.6,97.1,46.4,52.31,2022,75017,89,63,77,0.818,71,147,0.483,18,64,0.281,0.0,0.0,,37.0,75.0,0.4933,34.0,72.0,0.4722,1.15068,3.0882,98.025,97.9711,93.5091,167.827,-1.27622,2.62572,1.3495,1.3,13.1,17.2,23.0,1.0,1.6,36.5,2.9,85.2,,211,0.421800947867299
Trey Alexander,Combo G,So,23.0,6-4,Creighton,BE,37,79.7,32.0811,13.5676,0.3243,3.8919,4.2162,2.5946,1.48650004612585,1.74544226,1.0811,0.4595,20.5,112.4,53.4,57.76,2023,75017,169,98,119,0.824,103,217,0.475,66,161,0.41,2.0,2.0,1.0,42.0,83.0,0.506,61.0,134.0,0.4552,3.5123,4.0208,118.995,98.713,92.8676,221.484,3.16968,3.01719,6.18688,1.2,13.0,15.0,13.1,1.3,1.9,31.5,2.2,85.2,,378,0.447089947089947
