Name,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
AJ Dybantsa,BYU,Big 12,FR,F,35,35,1217,10.1,19.9,0.51,1.6,4.9,0.331,8.5,15,0.568,0.55,7.5,9.7,0.774,1.7,6.2,7.9,4.3,1.2,0.4,3.5,1.4,29.4,122.1,108.8,28.1,0.6,0.245,0.49,854,4.7,16.9,10.9,22.1,1.7,1.1,12.7,33.9,4.8,1.6,6.4,0.209,9.5,2.2,11.7
Darryn Peterson,Kansas,Big 12,FR,G,24,23,697,9,20.4,0.438,3.6,9.5,0.382,5.3,11,0.487,0.527,6.3,7.6,0.826,1,4.8,5.8,2.2,2,0.9,2.2,2.1,27.8,117.1,100.6,25.4,0.578,0.463,0.371,418,2.8,11.8,7.7,12.5,2.9,2.3,8.3,33.5,2,1.4,3.5,0.198,9.3,4.8,14.1
Cameron Boozer,Duke,ACC,FR,F,38,38,1271,9.1,16.4,0.556,1.7,4.3,0.391,7.4,12.1,0.615,0.607,7,8.8,0.789,4,8.2,12.2,4.9,1.7,0.7,3,2,26.9,135.7,92.8,33.7,0.653,0.264,0.536,856,12.5,22.1,17.6,25.6,2.5,2.2,12.8,29.9,6.9,3.5,10.4,0.327,12.7,6,18.7
Caleb Wilson,UNC,ACC,FR,F,24,24,751,9.1,15.7,0.578,0.4,1.4,0.259,8.7,14.2,0.61,0.59,6.9,9.6,0.713,3.6,8.4,12,3.4,1.9,1.8,2.5,2.5,25.4,127.7,97.8,31.4,0.626,0.092,0.616,458,10.5,22.2,16.6,18.1,2.8,4.4,11,28.7,3,1.7,4.8,0.254,8.7,5.3,14
Keaton Wagler,Illinois,Big Ten,FR,G,37,37,1255,6.4,14.5,0.445,2.8,7,0.397,3.7,7.5,0.489,0.541,5.5,6.9,0.796,2.3,3.7,6,5,1.1,0.4,2.1,2.3,21.1,134.1,107.6,23.9,0.596,0.482,0.476,685,6.7,10,8.5,23.2,1.7,1.3,10.6,25.2,5.5,1.8,7.2,0.23,8.8,3.5,12.3
Darius Acuff Jr.,Arkansas,SEC,FR,G,36,36,1264,9.1,18.8,0.484,2.9,6.6,0.44,6.2,12.3,0.508,0.561,5.6,7,0.809,0.5,3,3.5,7.3,0.9,0.3,2.5,1.9,26.7,128.8,116.9,25.2,0.604,0.348,0.37,849,1.6,8.3,5.1,32.2,1.3,0.9,10,29.5,5.5,0.7,6.2,0.196,9.4,0.7,10.1
Kingston Flemings,Houston,Big 12,FR,G,37,37,1172,7.6,15.9,0.476,1.4,3.6,0.387,6.2,12.3,0.503,0.52,3.7,4.4,0.845,0.6,4.5,5.1,6.6,1.9,0.4,2.3,2.5,20.3,123.3,96.9,23.6,0.563,0.227,0.277,608,1.8,12.9,7.3,32.6,3,1.3,11.1,26,3.8,2.8,6.6,0.225,6.6,6,12.6
Nate Ament,Tennessee,SEC,FR,F,35,35,1039,6.6,16.5,0.399,1.8,5.3,0.333,4.8,11.2,0.43,0.452,7.5,9.5,0.79,2.3,6.2,8.5,3.2,1.3,0.8,3,2.7,22.5,117.5,103.1,20.4,0.534,0.322,0.578,552,6.7,17,11.9,14.8,1.9,2.7,12.6,29,2.8,1.9,4.6,0.179,5.1,3.3,8.4
Mikel Brown Jr.,Louisville,ACC,FR,G,21,19,613,7.3,17.8,0.41,3.6,10.4,0.344,3.7,7.4,0.504,0.511,6.7,8,0.844,0.1,4.5,4.6,6.5,1.7,0.2,4.2,2.2,24.9,114.7,104.5,20.5,0.577,0.586,0.447,377,0.2,12.1,6.4,30.3,2.4,0.5,16.4,31.4,1.6,1,2.6,0.172,4.9,1.7,6.6
Brayden Burries,Arizona,Big 12,FR,G,39,39,1162,7.2,14.7,0.491,2.4,6.2,0.391,4.8,8.6,0.562,0.572,4.7,5.8,0.805,0.7,5.9,6.6,3.3,2,0.3,2,2.8,21.5,128.5,97.4,21.7,0.616,0.418,0.395,562,2.1,14.5,8.9,14.2,2.8,0.7,10.1,23.2,3.7,2.7,6.4,0.22,6,5.7,11.7
Karim Lopez,New Zealand,NBL,FR,F,31,0,799,6.82,13.64,0.502,1.55,4.65,0.326,5.43,8.99,0.591,0.56,3.26,4.65,0.717,2.79,6.66,9.46,3.1,1.86,1.55,2.33,4.65,18.4,112,96,18.5,0.604,0.341,0.341,266,14,13,13.5,17,2.3,4.2,12.9,21,1.5,1.2,2.7,0.15,0.5,1.9,2.4
Yaxel Lendeborg,Michigan,Big Ten,SR,F,40,39,1206,6.6,12.9,0.515,2.2,6,0.372,4.4,6.9,0.639,0.602,4.5,5.5,0.824,2.5,6.5,9,4.3,1.5,1.6,1.4,2.3,20,141.5,96.6,25.4,0.646,0.464,0.425,607,8,16,12.5,18,2.1,4.4,8.3,20.4,5,2.9,7.9,0.262,9.8,6.9,16.7
Thomas Haugh,Florida,SEC,JR,F,34,34,1133,6.5,14.1,0.46,2,6.3,0.326,4.4,7.8,0.568,0.533,5.4,7,0.774,2.6,4.8,7.4,2.6,1.3,1.2,1.8,2.8,20.5,131.1,102,20.8,0.586,0.445,0.498,545,7,12.3,9.8,10.5,1.8,2.9,9.3,22,3.7,2.2,5.9,0.208,6.6,4.4,11
Aday Mara,Michigan,Big Ten,JR,C,40,39,936,8.6,12.9,0.668,0.1,0.4,0.3,8.5,12.4,0.68,0.673,3.4,6,0.564,3.2,8.3,11.5,4.1,0.6,4.4,3.4,3.8,20.7,118.3,94.7,26.2,0.659,0.033,0.465,476,10.4,20.4,16.1,19,0.8,12,17.7,23.1,2.7,2.5,5.2,0.222,5.8,8.4,14.3
Hannes Steinbach,Washington,Big Ten,FR,F,30,30,1039,8,13.9,0.577,0.7,2,0.34,7.4,11.9,0.618,0.602,4.6,6.1,0.759,4.9,8.7,13.6,1.8,1.2,1.4,2.3,2.7,21.4,129.5,104,28,0.636,0.146,0.436,541,14.3,25,19.7,9.1,1.8,3.9,11.9,23.9,3.8,1.8,5.6,0.215,7.7,2.4,10.1
Labaron Philon Jr.,Alabama,SEC,SO,G,33,32,1020,9.5,19,0.501,3.2,8,0.399,6.4,11.1,0.574,0.585,6.2,7.8,0.798,0.7,3.8,4.6,6.5,1.5,0.2,3.3,2,28.4,127.3,115.1,25.9,0.626,0.419,0.408,703,1.9,9.2,5.7,31.9,2,0.5,12.7,30,4.3,0.8,5,0.198,9.2,2.1,11.3
Braylon Mullins,UConn,Big East,FR,G,33,29,931,6.3,14.9,0.421,3.1,9.2,0.335,3.2,5.7,0.561,0.524,1.4,1.5,0.889,1.2,3.7,5,2,1.4,0.9,1.7,4,17,112.1,101.6,14.8,0.544,0.62,0.104,341,3.8,10.8,7.4,9.5,2.2,2.6,9.9,22.4,1.4,1.8,3.2,0.137,3.1,3.7,6.8
Chris Cenac Jr.,Houston,Big 12,FR,C,37,36,918,6.2,12.9,0.485,1.3,3.9,0.333,4.9,8.9,0.551,0.536,1.6,2.5,0.621,3.6,9.1,12.7,1.2,1.2,0.8,1.4,3.7,15.3,118,92.2,19.3,0.546,0.305,0.197,336,10.1,26.1,18,5.5,1.9,2.6,9.3,19.9,1.8,2.6,4.3,0.189,3.7,3.8,7.5
Christian Anderson,Texas Tech,Big 12,SO,G,33,33,1266,6.4,13.6,0.472,3.4,8.2,0.415,3,5.4,0.558,0.597,3,3.7,0.805,0.6,3.1,3.7,7.7,1.5,0.3,3.4,2.1,19.3,125,108,20.9,0.626,0.602,0.273,665,1.8,8.5,5.3,35.2,2.2,0.7,18.3,23.8,4.2,1.4,5.6,0.177,7.1,2.3,9.4
Jayden Quaintance,Kentucky,SEC,SO,F,4,1,67,4.8,8.4,0.571,0,0,0,4.8,8.4,0.571,0.571,2.4,7.8,0.308,4.8,7.2,11.9,1.2,1.2,1.8,3.6,3,11.9,92.2,105.3,13.2,0.496,0,0.929,22,13.7,19.6,16.7,5.2,1.7,5,22.9,19.2,0,0.1,0.1,0.051,0,1.8,1.9
Isaiah Evans,Duke,ACC,SO,G,38,38,1072,6.9,16,0.433,3.8,10.4,0.361,3.2,5.6,0.567,0.55,3.7,4.3,0.86,0.6,4,4.6,1.8,1,0.9,1.6,1.7,21.3,125,100.7,19.2,0.59,0.651,0.265,479,1.7,10.7,6.5,8.3,1.5,2.9,8.2,24.9,3.1,2.3,5.3,0.199,6.5,3.3,9.8
Allen Graves,Santa Clara,WCC,SO,F,35,4,791,7.3,14.3,0.512,1.9,4.7,0.413,5.4,9.7,0.56,0.58,4.2,5.7,0.75,5,6.6,11.5,3.2,3.4,1.7,1.3,5.5,20.8,139.1,97.2,29.6,0.613,0.325,0.396,418,13.8,19.8,16.7,13.9,4.9,4.9,6.9,21.9,3.4,1.8,5.3,0.266,8.7,4.7,13.4
Bennett Stirtz,Iowa,Big Ten,SR,G,37,37,1396,7.2,15.1,0.477,2.6,7.4,0.358,4.6,7.7,0.591,0.565,4,4.7,0.848,0.3,2.5,2.8,4.7,1.5,0.3,1.9,2.1,21,125.8,108.9,22.3,0.607,0.489,0.314,704,1,8.7,4.8,24.9,2.3,0.9,10.1,26.9,4.9,1.8,6.7,0.191,7.7,2.5,10.2
Cameron Carr,Baylor,Big 12,JR,G,34,34,1146,7.5,15.3,0.494,2.7,7.2,0.374,4.9,8.1,0.602,0.582,4.6,5.8,0.801,0.8,6.1,6.9,3.1,1,1.6,2.8,2.2,22.4,122.9,110,22,0.622,0.471,0.38,577,2.3,17.5,10,14.6,1.5,4,13.6,25.3,3.3,1.4,4.7,0.164,6.9,2.3,9.2
Dailyn Swain,Texas,SEC,JR,F,36,36,1182,7.2,13.4,0.542,1.1,3.1,0.344,6.2,10.2,0.603,0.582,5.5,6.8,0.815,2.1,7.1,9.2,4.4,2,0.4,3.2,2.7,21.1,125.7,107.7,25,0.636,0.235,0.506,632,6.2,20.6,13.6,21,2.9,1,16.4,24.6,4,1.6,5.6,0.191,6.9,3.6,10.5
Koa Peat,Arizona,Big 12,FR,F,36,36,1000,8,15.2,0.528,0.3,0.8,0.35,7.7,14.4,0.538,0.537,4,6.5,0.623,3.1,5,8.1,3.7,0.9,1,2.3,3.2,20.3,119.5,100.7,20.5,0.557,0.053,0.427,506,9.1,12.5,10.9,16.7,1.3,2.5,11.3,24.5,2.6,2,4.6,0.184,4.8,3.9,8.8
Morez Johnson Jr.,Michigan,Big Ten,SO,F,40,40,1004,7.8,12.5,0.623,0.5,1.4,0.343,7.3,11.1,0.658,0.642,4.9,6.2,0.782,4,7.7,11.7,1.9,1.1,1.8,2.1,3.7,20.9,135.4,96.1,25.2,0.677,0.112,0.498,497,12.8,18.9,16.3,8.4,1.5,4.8,12,21.3,3.7,2.4,6.1,0.245,6.4,5.4,11.8
Meleek Thomas,Arkansas,SEC,FR,G,37,21,1128,7.2,16.6,0.435,2.9,7,0.416,4.3,9.6,0.448,0.522,3.2,3.8,0.843,1.2,3.9,5,3.3,2,0.2,1.3,2.7,20,122.3,112.6,19.2,0.559,0.422,0.231,544,3.5,10.8,7.2,13.2,2.8,0.6,6.7,23.6,3,1.1,4,0.143,4.8,2.3,7
Ebuka Okorie,Stanford,ACC,FR,G,31,31,1088,8.6,18.5,0.465,2.3,6.5,0.354,6.3,11.9,0.526,0.528,6.9,8.3,0.832,0.8,3.3,4.2,4.1,1.8,0.4,2.1,1.6,26.4,126.2,110.5,26.5,0.589,0.354,0.449,680,2.4,10.3,6.2,23.9,2.7,1,8.7,31,4.4,1.2,5.7,0.208,8.4,2.2,10.6
Henri Veesaar,UNC,ACC,SR,F,31,31,974,8.5,14,0.608,1.6,3.9,0.426,6.9,10.2,0.677,0.667,3,4.8,0.615,2.8,8.3,11.1,2.6,0.7,1.5,2.1,3.2,21.7,128.6,102.1,25.4,0.664,0.275,0.342,477,8.1,21.9,15.3,13.6,1.1,3.8,11.6,23.3,3.2,1.9,5.1,0.209,7,3.8,10.7
Zuby Ejiofor,St.John's (NY),Big East,SR,F,37,37,1109,7.2,13.5,0.536,0.6,2.1,0.305,6.6,11.3,0.58,0.56,6.7,9.3,0.718,4.4,5.3,9.8,4.7,1.6,2.8,2.8,3.2,21.8,127,97.2,27.7,0.609,0.158,0.694,633,12.1,14.7,13.4,23,2.2,7.2,13.6,24.8,4,2.6,6.6,0.239,8.5,6,14.5
Alex Karaban,UConn,Big East,SR,F,40,40,1370,5.5,11.8,0.464,2.2,6,0.374,3.2,5.8,0.558,0.559,2.2,2.5,0.851,2.1,4.1,6.2,2.7,1,1,1.3,2.4,15.4,127.7,102.8,17.7,0.59,0.509,0.215,499,6.4,11.8,9.1,12.4,1.5,2.8,8.8,18.4,3.5,2.5,6,0.174,5.4,3.6,9
Joshua Jefferson,Iowa St.,Big 12,SR,F,35,35,1083,7.2,15.2,0.471,1.4,4.1,0.345,5.8,11.2,0.517,0.517,5.5,7.9,0.7,2.4,7.2,9.6,6.2,2.1,1.1,3.3,3,21.2,118.6,92.7,24.4,0.56,0.267,0.517,615,7.2,21.8,14.4,27.7,3.1,3.4,14.8,27.6,3.1,3,6.1,0.226,7,6.1,13
Luigi Suigo,Mega,ABA,FR,C,16,16,290,6.6,11.7,0.564,1,3.7,0.267,5.6,7.9,0.703,0.598,2,2.6,0.762,4,6.5,10.4,1.6,0.9,2.2,1.9,6.6,16.1,118,88,25,0.64,0.316,0.222,345,9.5,23.2,17,6.23,1.7,2.1,22.6,24,2,2.4,4.4,0.233,1.2,4.3,5.5
Tarris Reed Jr.,UConn,Big East,SR,F,35,35,956,8.8,14.5,0.607,0,0.2,0,8.8,14.3,0.614,0.607,4,6.4,0.617,4.7,8.5,13.1,3.3,1.3,2.9,2.7,4.3,21.5,123.1,92.9,28.8,0.614,0.012,0.445,498,14.2,24.5,19.4,17.8,2,8.4,13.4,26.1,3.1,2.6,5.7,0.237,6.7,6.1,12.9
Sergio de Larrea,Valencia,Liga ACB,SO,F,28,28,513,5.8,13,0.443,2.6,6.4,0.407,3.2,6.6,0.479,0.543,4.9,5.9,0.833,2.5,3.4,6,7.3,1.1,0.5,3.3,3.1,19,116,95,23,0.614,0.492,0.454,495,21,14,17,24,1.6,2.1,14,28,2.3,1.8,4.1,0.225,3.1,1.7,4.8
