Name,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass
Aaron Gordon,gordoaa01,23465.0,52.2,14.1,0,0,All-Star
Aaron Holiday,holidaa01,9168.0,12.9,0.2,0,0,Rotational
Aaron Nesmith,nesmiaa01,7512.0,11.2,-0.1999999999999999,0,0,Rotational
Aaron Wiggins,wiggiaa01,6892.0,15.0,1.9,0,0,Rotational
Al Horford,horfoal01,36887.0,119.5,45.3,5,0,Superstar
Alex Caruso,carusal01,10307.0,23.1,7.899999999999999,0,0,Starter
Alex Sarr,sarral01,3119.0,1.3,0.3,0,0,Rotational
Amir Coffey,coffeam01,6933.0,13.3,-0.1,0,0,Rotational
Andre Drummond,drumman01,30009.0,91.5,21.6,2,0,All-Star
Andrew Nembhard,nembhan01,7437.0,8.799999999999999,-0.2,0,0,Rotational
Andrew Wiggins,wiggian01,31650.0,43.6,8.2,1,0,All-Star
Anthony Black,blackan01,4961.0,6.6,0.3999999999999999,0,0,Rotational
Anthony Davis,davisan02,29447.0,126.7,58.0,10,4,Superstar
Anthony Edwards,edwaran01,15400.0,31.3,15.8,4,2,All-Star
Anthony Gill,gillan01,3119.0,5.9,-1.0,0,0,Rotational
Austin Reaves,reaveau01,10202.0,27.4,7.5,0,0,Starter
Ayo Dosunmu,dosunay01,11576.0,22.3,3.4,0,0,Starter
Bam Adebayo,adebaba01,19719.0,64.0,22.2,3,0,All-Star
Ben Sheppard,sheppbe01,3432.0,4.3,-0.7,0,0,Rotational
Bennedict Mathurin,mathube01,9149.0,10.4,-2.5,0,0,Rotational
Bilal Coulibaly,coulibi01,5131.0,1.7,-1.8,0,0,Rotational
Bismack Biyombo,biyombi01,17844.0,34.5,-3.0,0,0,Starter
Bobby Portis,portibo01,17825.0,38.3,6.5,0,0,Starter
Bogdan Bogdanović,bogdabo01,16098.0,27.0,7.699999999999999,0,0,Starter
Bones Hyland,hylanbo01,5675.0,9.3,2.7,0,0,Rotational
Bradley Beal,bealbr01,27681.0,58.3,23.6,3,0,All-Star
Brandin Podziemski,podzibr01,6017.0,13.4,3.4,0,0,Rotational
Brandon Clarke,clarkbr01,6412.0,24.7,7.3,0,0,Starter
Brandon Ingram,ingrabr01,18920.0,32.0,10.5,2,0,All-Star
Brandon Miller,millebr02,5275.0,5.7,1.9,0,0,Rotational
